name	tfName	up5kbNum	down1kbNum	tssPos	miRNAs
chr1_fMiRNAcluster0	ERG	1	0	29553	hsa-mir-1302-2
chr1_fMiRNAcluster0	ERG	1	0	29553	hsa-mir-1302-2
chr1_fMiRNAcluster0	4-Oct	1	1	29553	hsa-mir-1302-2
chr1_fMiRNAcluster0	SMAD2/3	1	1	29553	hsa-mir-1302-2
chr1_fMiRNAcluster0	SMAD4	1	0	29553	hsa-mir-1302-2
chr1_fMiRNAcluster0	E2F4	1	0	29553	hsa-mir-1302-2
chr1_fMiRNAcluster1	AR	1	0	1102483	"hsa-mir-200a,hsa-mir-429,hsa-mir-200b"
chr1_fMiRNAcluster1	ERG	1	0	1102483	"hsa-mir-200a,hsa-mir-429,hsa-mir-200b"
chr1_fMiRNAcluster1	ERG	1	0	1102483	"hsa-mir-200a,hsa-mir-429,hsa-mir-200b"
chr1_fMiRNAcluster1	p63	1	0	1102483	"hsa-mir-200a,hsa-mir-429,hsa-mir-200b"
chr1_fMiRNAcluster1	p63	1	0	1102483	"hsa-mir-200a,hsa-mir-429,hsa-mir-200b"
chr1_fMiRNAcluster1	AR	1	0	1102483	"hsa-mir-200a,hsa-mir-429,hsa-mir-200b"
chr1_fMiRNAcluster1	MED12	1	0	1102483	"hsa-mir-200a,hsa-mir-429,hsa-mir-200b"
chr1_fMiRNAcluster1	CDX2	1	0	1102483	"hsa-mir-200a,hsa-mir-429,hsa-mir-200b"
chr1_fMiRNAcluster1	CDX2	2	1	1102483	"hsa-mir-200a,hsa-mir-429,hsa-mir-200b"
chr1_fMiRNAcluster1	HNF4A	2	0	1102483	"hsa-mir-200a,hsa-mir-429,hsa-mir-200b"
chr1_fMiRNAcluster1	HNF4A	1	0	1102483	"hsa-mir-200a,hsa-mir-429,hsa-mir-200b"
chr1_fMiRNAcluster1	HA-E2F1	1	0	1102483	"hsa-mir-200a,hsa-mir-429,hsa-mir-200b"
chr1_fMiRNAcluster1	EBF	1	0	1102483	"hsa-mir-200a,hsa-mir-429,hsa-mir-200b"
chr1_fMiRNAcluster1	FOSL2	1	0	1102483	"hsa-mir-200a,hsa-mir-429,hsa-mir-200b"
